Title,Projecting the effects of agricultural conservation practices on stream fish communities in a changing climate,Forecasting water temperature in lakes and reservoirs using seasonal climate prediction,Web-based data analytics framework for well forecasting and groundwater quality,"Advancing lake and reservoir water quality management with near-term, iterative ecological forecasting",Prediction of algal bloom occurrence based on the naive Bayesian model considering satellite image pixel differences,A Near-Term Iterative Forecasting System Successfully Predicts Reservoir Hydrodynamics and Partitions Uncertainty in Real Time,Individual-based models forecast the spread and inform the management of an emerging riverine invader,Medium-term storage volume prediction for optimum reservoir management: A hybrid data-driven approach,A novel hybrid model for water quality prediction based on synchrosqueezed wavelet transform technique and improved long short-term memory,Water Temperature Ensemble Forecasts: Implementation Using the CEQUEAU Model on Two Contrasted River Systems,Calibration and quantifying uncertainty of daily water quality forecasts for large lakes with a Bayesian joint probability modelling approach,Temperature and hydrologic alteration predict the spread of invasive Largemouth Bass (Micropterus salmoides),"Assessing and Predicting the Water Resources Vulnerability under Various Climate-Change Scenarios: A Case Study of Huang-Huai-Hai River Basin, China","Probabilistic forecast of microcystin toxin using satellite remote sensing, in situ observations and numerical modeling",Meteolakes: An operational online three-dimensional forecasting platform for lake hydrodynamics,Iterative Forecasting Improves Near-Term Predictions of Methane Ebullition Rates,Adaptive forecasting of phytoplankton communities,Impact of different types of meteorological data inputs on predicted hydrological and erosive responses to projected land use changes,A data-driven model for real-time water quality prediction and early warning by an integration method,The performance of classification and forecasting Dong Nai River water quality for sustainable water resources management using neural network techniques,Assimilation of water temperature and discharge data for ensemble water temperature forecasting,,,,
Authors,"Fraker, Michael E.; Keitzer, S. Conor; Sinclair, James S.; Aloysius, Noel R.; Dippold, David A.; Yen, Haw; Arnold, Jeffrey G.; Daggupati, Prasad; Johnson, Mari-Vaughn V.; Martin, Jay F.; Robertson, Dale M.; Sowa, Scott P.; White, Michael J.; Ludsin, Stuart A.","Mercado-Bettin, Daniel; Clayer, Francois; Shikhani, Muhammed; Moore, Tadhg N.; Frias, Maria Dolores; Jackson-Blake, Leah; Sample, James; Iturbide, Maialen; Herrera, Sixto; French, Andrew S.; Norling, Magnus Dahler; Rinke, Karsten; Marce, Rafael","Sit, Muhammed; Langel, Richard J.; Thompson, Darrin; Cwiertny, David M.; Demir, Ibrahim","Carey, Cayelan C.; Woelmer, Whitney M.; Lofton, Mary E.; Figueiredo, Renato J.; Bookout, Bethany J.; Corrigan, Rachel S.; Daneshmand, Vahid; Hounshell, Alexandria G.; Howard, Dexter W.; Lewis, Abigail S. L.; McClure, Ryan P.; Wander, Heather L.; Ward, Nicole K.; Thomas, R. Quinn","Mu, Meng; Li, Yunmei; Bi, Shun; Lyu, Heng; Xu, Jie; Lei, Shaohua; Miao, Song; Zeng, Shuai; Zheng, Zhubin; Du, Chenggong","Thomas, R. Quinn; Figueiredo, Renato J.; Daneshmand, Vahid; Bookout, Bethany J.; Puckett, Laura K.; Carey, Cayelan C.","Messager, Mathis L.; Olden, Julian D.","Bertone, Edoardo; Halloran, Kelvin O.; Stewart, Rodney A.; de Oliveira, Guilherme F.","Song, Chenguang; Yao, Leihua; Hua, Chengya; Ni, Qihang","Ouellet-Proulx, Sebastien; St-Hilaire, Andre; Boucher, Marie-Amelie","Peng, Zhaoliang; Hu, Yuemin; Liu, Gang; Hu, Weiping; Zhang, Hui; Gao, Rui","Bae, Mi-Jung; Murphy, Christina A.; Garcia-Berthou, Emili","Chen, Yan; Feng, Yazhong; Zhang, Fan; Yang, Fan; Wang, Lei","Liu, Qianqian; Rowe, Mark D.; Anderson, Eric J.; Stow, Craig A.; Stumpf, Richard P.; Johengen, Thomas H.","Baracchini, Theo; Wuest, Alfred; Bouffard, Damien","McClure, Ryan P.; Thomas, R. Quinn; Lofton, Mary E.; Woelmer, Whitney M.; Carey, Cayelan C.","Page, Trevor; Smith, Paul J.; Beven, Keith J.; Jones, Ian D.; Elliott, J. Alex; Maberly, Stephen C.; Mackay, Eleanor B.; De Ville, Mitzi; Feuchtmayr, Heidrun","Bhattacharyya, Suman; Sanyal, Joy","Jin, Tao; Cai, Shaobin; Jiang, Dexun; Liu, Jie",Nguyen Hien Than; Che Dinh Ly; Pham Van Tat,"Ouellet-Proulx, Sebastien; Chiadjeu, Olivier Chimi; Boucher, Marie-Amelie; St-Hilaire, Andre",,,,
Journal,SCIENCE OF THE TOTAL ENVIRONMENT,WATER RESEARCH,SCIENCE OF THE TOTAL ENVIRONMENT,INLAND WATERS,ECOLOGICAL INDICATORS,WATER RESOURCES RESEARCH,DIVERSITY AND DISTRIBUTIONS,JOURNAL OF CLEANER PRODUCTION,JOURNAL OF HYDROLOGY,WATER,WATER RESEARCH,SCIENCE OF THE TOTAL ENVIRONMENT,ENTROPY,ENVIRONMENTAL MODELLING & SOFTWARE,WATER RESEARCH,FRONTIERS IN ENVIRONMENTAL SCIENCE,WATER RESEARCH,JOURNAL OF EARTH SYSTEM SCIENCE,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,JOURNAL OF HYDROLOGY,JOURNAL OF HYDROLOGY,,,,
Year,2020,2021,2021,NA,2021,2020,2018,2017,2021,2017,2020,2018,2020,2020,2020,2021,2018,2019,2019,2021,2017,,,,
DOI,https://doi.org/10.1016/j.scitotenv.2020.141112,https://doi.org/10.1016/j.watres.2021.117286,https://doi.org/10.1016/j.scitotenv.2020.144121,https://doi.org/10.1080/20442041.2020.1816421,https://doi.org/10.1016/j.ecolind.2021.107416,https://doi.org/10.1029/2019WR026138,https://doi.org/10.1111/ddi.12829,https://doi.org/10.1016/j.jclepro.2017.04.003,https://doi.org/10.1016/j.jhydrol.2021.126879,https://doi.org/10.3390/w9070457,https://doi.org/10.1016/j.watres.2020.116162,https://doi.org/10.1016/j.scitotenv.2018.05.001,https://doi.org/10.3390/e22030333,https://doi.org/10.1016/j.envsoft.2020.104705,https://doi.org/10.1016/j.watres.2020.115529,https://doi.org/10.3389/fenvs.2021.756603,https://doi.org/10.1016/j.watres.2018.01.046,https://doi.org/10.1007/s12040-019-1076-y,https://doi.org/10.1007/s11356-019-06049-2,https://doi.org/10.1016/j.jhydrol.2021.126099,https://doi.org/10.1016/j.jhydrol.2017.09.027,,,,
Paper identifier,2,8,42,43,68,76,88,123,124,133,137,191,326,374,411,416,452,465,637,668,797,,,,
Reviewer,MEL,MEL,MEL,MEL,MEL,MEL,MEL,MEL,MEL,MEL,MEL,MEL,MEL,MEL,MEL,MEL,MEL,MEL,MEL,MEL,MEL,,,,
"Forecast variables, scales, models, and skill",,,,,,,,,,,,,,,,,,,,,,,,,
forecast ecosystem? (select the term the authors use in the paper),other,other,groundwater,reservoir,lake,reservoir,other,reservoir,other,river,lake,other,other,lake,lake,reservoir,lake,other,river,river,river,,,,
"if your answer to previous question is ""other"", name the forecast ecosystem using the term the authors use in the paper",Lake Erie sub-watershed basin,lake and reservoir,,,,,basin,,Haihe River Basin watershed,,,Iberian Peninsula watershed,Huang-Huai-Hai Basin watershed basin,,,,,Indravati river basin watershed,,,,,,,
"is the forecast targeting a physical, chemical, or biological variable, or some combination of the three?",biological,physical,physical,multiple,biological,physical,biological,physical,chemical,physical,chemical,biological,multiple,chemical,physical,chemical,biological,multiple,multiple,multiple,physical,,,,
"list the target forecast variable(s), separated by commas (e.g., DOC concentration, streamflow)","fish habitat, fish traits","discharge, water temperature",aquifer depth,"dissolved oxygen, water temperature",algal bloom occurrence,water temperature,Faxonius rusticus (rusty crayfish) occurrence,reservoir storage volume,dissolved oxygen,"water temperature, discharge","dissolved oxygen, ammonium nitrogen, total phosphorus, total nitrogen",largemouth bass distribution,water resources vulnerability index,probability of microcystin threshold exceedance,"water velocity, water temperature",methane ebullition rate,phytoplankton community structure,"discharge, sediment yield","ammonia-nitrogen, turbidity, electro-conductibility",water quality index,"water temperature, discharge",,,,
what is the minimum forecast horizon in days?,"3,650",30,0,1,1,1,365,30,7,1,0,,1825,1,0.125,7,1,3650,0.17,365,1,,,,
what is the maximum forecast horizon in days?,20075,120,0,16,7,16,3285,60,7,5,5,,5475,5,4.5,14,10,3650,0.17,1095,5,,,,
"list the forecast skill metric(s) used, separated by commas (e.g., R2, RMSE); leave blank if forecast not assessed",,"tercile plots, RPSS, ROCSS",,,area under ROC curve (AUC); correctly classified instances (CCI%); AUC confidence interval,"RMSE, CRPS, CRPS skill, bias, reliability of confidence intervals",,"Correct volume interval prediction, correct spill interval prediction","maximum Absolute Error (AEmax), MAE, MAPE, RMSE, R2, correlation coefficient, Nash-Sutcliffe, index of agreement, width of 95% confidence interval","MCRPS, MAE, Brier score, reliability plots","bias, RMSEPSS, CRPS, attribute diagrams (reliability plots?), sharpness, PIT uniform probability plots",area under ROC curve,,"probability of detection (POD), the probability of false detection (POFD), frequency bias (B), and the Pierce skill score (PSS), ROC, AUC","RMSE, visualization","RMSE, NSE","RMSE, R2",,"RMSE, MAE, MRE, R2, prediction interval coverage percentage","RMSE, MAPE, NSE, R2","CRPS, Brier score, reliability plots, ensemble spread, MAE",,,,
does the paper include a null model?,no,no,no,no,no,yes,no,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,,,,
does the paper include a multi-model (2 or more models) comparison?,no,no,,no,no,yes,no,,,no,yes,,no,no,no,yes,yes,no,yes,,no,,,,
"does the paper include a simple null model, defined as either persistance, historical mean, or a first-order AR model?",no,no,,no,no,yes,no,,,no,no,,no,no,no,yes,yes,no,no,,no,,,,
"how is uncertainty incorporated? present = The model contains this concept (e.g. the model has parameters), but the values used are not derived from data and no uncertainty is represented (e.g. spin-up initial conditions, drivers are scenarios, hand-tuned single-value parameters); data_driven = The model contains this concept and the inputs are data driven but uncertainty in this input is not explicitly propagated into predictions (e.g. calibrated model parameters, a single time series of observed meteorological driver data). For sake of internal consistency, quantitative forecasts of other variables that are used as inputs into ecological forecasts (e.g. weather forecasts) should be treated as data.; propagates = The model propagates uncertainty about this term into forecasts. The most common example of this is a model run multiple times (i.e. ensemble) that samples the distributions of parameters, initial conditions, or drivers. Alternatively, one might be using an analytical approach to estimate how input uncertainties for a specific term translates into output uncertainties.; assimilates = The model iteratively updates this term through data assimilation. An example would be using a formal variational (e.g. 4DVar) or ensemble (EnKF, PF) data assimilation approach. For simpler models, this would also include iteratively refitting the whole model in light of new data.

",present,propagates,data_driven,assimilates,data_driven,assimilates,data_driven,propagates,,propagates,propagates,data_driven,present,assimilates,assimilates,assimilates,assimilates,data_driven,data_driven,,assimilates,,,,
Forecast infrastructure and workflows,,,,,,,,,,,,,,,,,,,,,,,,,
forecast iterative? (defined as regularly updated and re-issued when new data become available),no,yes,no,yes,no,yes,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,,,,
"forecast described by authors as automated? (can be reissued the next day, for example, without manual intervention by a human)",no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,,,,
"forecasts archived? (select yes if the archiving is noted in text, otherwise select no/don't know)",no/don't know,no/don't know,no/don't know,yes,no/don't know,no/don't know,no/don't know,no/don't know,no/don't know,no/don't know,no/don't know,no/don't know,no/don't know,no/don't know,yes,yes,no/don't know,no/don't know,no/don't know,no/don't know,no/don't know,,,,
Human dimensions of forecasts,,,,,,,,,,,,,,,,,,,,,,,,,
"what is the stated motivation for forecast development? (be brief; copy-paste quotes is fine but indicate this using quotation marks ("" ""); leave blank if not stated)","""How anticipated climate change might affect long-term outcomes of present-day agricultural conservation practices remains a key uncertainty""","""seasonal prediction for water quality variables introduces an opportunity for controlling key variables in a feasible time-scale for
water management treatment""
